Name,Code,Revenue
ბ.ს.ბ.-კომპანია,216452906,420866
ისტ-ვესტ ტრაიდინგი,206128634,416065
შპს მედიქალ ბიოს ჯორჯია,205242450,415707
საკანცელარიო სამყარო,202335721,413379
გია კავკასია ლოგისტიკა,404929725,411250
პეგასი,400001314,409050
სს ჰემატოლოგიისა და ტრანსფუზიოლოგიის ს/კ ინსტიტუტი,211334331,408246
შ.პ.ს. ახვლედიანი აუდიტ კონსალტინგი,205236840,405374
სადაზღვევო კომპანია ვესტი,206144331,404859
უნივერსალი,238760444,403935
შპს 4444,445405598,403251
ლაბ დისტრიბუცია,200253705,393440
შპს იმუნოფარმი,404387301,392392
შპს აპექს გრუპ,202360701,390664
გამა მილენიუმი,439392630,390487
შ.პ.ს. ინოვესტი,406066625,387975
იმედი ავტო 5,404885629,387360
საქართველოს საერთაშორისო ენერგეტიკული კორპორაცია,230866783,379776
არქიტექსი,204911202,370739
საქართველოს სამეცნიერო-საგანმანათლებლო კომპიუტერული ქსელების ასოციაცია - გრენა,204931654,370054
იბერია,205018835,364874
სპს ბოლქვაძე ზურაბ,248047812,359527
იბერია ავტო ლენდი,236095177,358500
ჰეფი თრეველი,205204544,356853
შპს სენა ავტო სერვისი,205210396,346801
ათენა,444547064,345493
შპს დია ამო,245437077,342000
გზაკომუნპროექტი და ექსპერტიზა,205267227,338341
ინტეგრირებული ქართული სისტემები,205135824,337295
კომპაუდი,202385169,337084
შპს გეო ლოდი,245559890,334998
შპს მნმ-მულტიკომი,211382546,332174
ინტერლაბი,404877077,329713
ბაისო,245629280,329564
ნიუსი,430025215,328102
ოფთალმოლოგიური ცენტრი კატარაქტკლინიკა,404875836,319734
შპს ბერინგი,200264640,319330
შპს ვარზია,401974262,318635
გეოტექსერვისი,200087707,316806
გონი-011,445390791,316806
ავტოტრანსსერვისი,202435980,316700
ჩვენი სამზარეულო,205116355,314796
პრიმამედი,204963851,312605
მიმდემი,412679061,309576
შპს ~ ახალი მეგრელები 2012~,444547670,309481
შპს გერმა პური,205237224,307888
ჯეფი ჯგუფი,404887707,305900
დმგ ვესტ ლაინი,202383759,303014
ვიქტორია სექიურითი,205119762,301833
შპს ქართულ-ამერიკული სამშენებლო საწარმოLTD GACC,202460274,300000
ვეტერინალური კორპორაცია ვიტ ჯორჯია,200009258,298254
ჩათო,202464957,294101
ბათუმი არტ,445392245,293979
ბიგ ჯორჯია,200165463,291900
შპს აუტოსიტი,202331672,291480
ბორჯომი ვოთერს,226146872,291057
სოფთლაინ საქართველო,404867998,290148
სტუდია მეტრო,205189623,289582
პრაიმ ქემიქალსი,404867569,288920
გორის ბავშვთა კვების საკონსერვო ქარხანა,218080225,287027
საძირკველი 91,200007296,286748
ტრენაჟორების სახლი,204571524,285784
ტელკო სისტემს,205203279,285706
ფავორიტი სტილი,404379294,282375
მუნიციპალპროექტი,211402123,281688
სერვის კომპანია,406037612,281635
მეიდან ექსპრესი,206343223,279851
ინტერკონტინენტალი,205271702,277435
იბერმობილი,209482736,277189
შპს დავითი 2008,236097040,275744
თი-ვი ემ-არ საქართველო,205038966,275407
სენსონი,205138509,275092
საოფისე ტექნოლოგიები,205045164,274157
გიო და კომპანია,202224592,273922
ბიოლენდ+,404415156,273792
ავიასაწვავსერვისი,208145130,272394
ალაზანი,400035289,271541
პატრონ ჯორჯია,406030272,270114
MS,401961052,269512
არადუ-II,404399860,269276
ვაზი,228923216,269227
ბთმ გროუპ,245628316,267728
შპს საქართველოს საპატრიარქოს წმიდა იოაკიმე და ანას სახელობის სამედიცინო ცენტრი,204483380,266500
ბეღელი,404892194,261740
შპს ბუკა 2007,212884208,261210
შპს დაიმონდ პრო,406048977,260233
სარეკლამო კომპანია საყვირი,204525950,259500
ვერეXXI,211387346,259236
შპს უშიშროების და საკუთრების დაცვის სამსახური თორნი,211401936,259132
ბიო-მედი,204992393,254757
მერკური-7,218066562,253956
სპორტული სტრუქტურები,202461219,253136
ჯი-ენდ-ჯი+,204556934,252074
შპს ს.მ.ს.,400003321,251608
სს ჯანმრთელობა,204386823,247472
ნიუ ჰოსპიტალსი,205210467,246000
უნისტილი,200204108,244400
სოლარი+,245604751,244262
შპს ბავშვთა ახალი კლინიკა,404904573,244031
ნ და დ - 2000,211361113,242450
არტ-სოლანი,245565794,241094
აუთდორ.ჯი,205255917,238461
პირამიდა 555,246761927,236885
შ.პ.ს გარდაბანგანათებისა და კეთილმოწყობის სამსახური,226560860,236550
სტრომოსი,205228877,235676
გ.ჟვანიას სახელობის პედიატრიული კლინიკა,202454593,234946
შ.პ.ს. ევროტექნოლოგიები,205169360,233853
შპს MEDMARINE,445393164,232398
შ.პ.ს შერი,239401170,231781
ლიბერთი ბანკი,203828304,230420
ჯეოტურანი,412670499,229619
ეისითი  კვლევა,204441684,229600
ფენიქს კომპიუტერსი,205026130,228673
სოთ კო,205025248,227546
ჯეორესეტი,204560242,227147
მეგასპორტი,205244216,225540
შ.პ.ს.ინტერ-კომპანი,439860624,222800
შპს დიოკნისი,248054689,221654
მარიამი-2005,200195485,219174
მეგი და კომპანია,211387603,218692
შპს პენსან ჯორჯია,404870760,218031
შპს მ და კომპანია +,219636954,214592
შპს მაიქროსოფთ საქართველო,205278527,213995
ეივიბი,204568324,213545
შპს საქართველოს პლასტიკური წარმოება,200158364,210817
პროფი მარკეტი,404869923,210590
დიდოსტატი-1,228544554,204789
ნიუ ჯეორჯია,401958707,203789
ბოლნისის მოხუცთა პანსიონატი ჭაღარა,225377277,202901
შპს სერვისი,205044842,202362
GEORGIAN TRADING COMPANY,416298152,202070
ტრანს კრეატივი,404381628,200770
შპს ბესტ სელერი - წიგნის სადისტრიბუციო სამსახური,206338676,200011
ტიტალ საქართველო,417873215,199499
შპს სუფთა გარემო ჯორჯია,204567058,198032
დივა,236084964,197967
ქართული გახმოვანება,205239428,197800
ქარ რენთ ენდ თრეიდ-ინ ქომფანი,404851852,196540
ხობი 2005,244685131,196383
შპს Best Events Catering,406049556,195639
მოგზაური,205026675,195244
შპს საბი,211385758,195174
შპს მილენიუმ ოფისი,400008371,193948
მაგთივინი,204878622,193595
ფონდი  საქართველოს ბავშვთა ფედერაცია,204873556,192780
შპს G.S.A.,406070228,192736
ნუგეში,211385507,192280
