Source,Target,Type,Id,Label,Weight
2423,1778,Undirected,10577,,1
2424,1778,Undirected,10578,,1
3210,1778,Undirected,10579,,4
3211,1778,Undirected,10580,,1
3621,1778,Undirected,10581,,1
3622,1778,Undirected,10582,,1
4266,1778,Undirected,10583,,1
4430,1778,Undirected,10584,,1
5268,1780,Undirected,10585,,2
5269,1780,Undirected,10586,,1
5270,1780,Undirected,10587,,1
5271,1780,Undirected,10588,,2
1782,1782,Undirected,10589,,1
5411,1782,Undirected,10590,,1
5412,1782,Undirected,10591,,1
7399,1782,Undirected,10592,,2
7483,1782,Undirected,10593,,1
2184,1786,Undirected,10594,,1
3220,1786,Undirected,10595,,1
5639,1786,Undirected,10596,,1
6661,1786,Undirected,10597,,2
6820,1786,Undirected,10598,,1
3353,1791,Undirected,10599,,1
5349,1792,Undirected,10600,,1
6423,1792,Undirected,10601,,2
7272,1792,Undirected,10602,,2
3966,1794,Undirected,10603,,1
1795,1795,Undirected,10604,,1
7067,1795,Undirected,10605,,1
4181,1796,Undirected,10606,,1
4491,1796,Undirected,10607,,1
4534,1796,Undirected,10608,,5
4535,1796,Undirected,10609,,1
4772,1796,Undirected,10610,,1
5610,1796,Undirected,10611,,2
6280,1796,Undirected,10612,,1
6610,1796,Undirected,10613,,2
6665,1796,Undirected,10614,,1
6710,1796,Undirected,10615,,2
6828,1796,Undirected,10616,,1
7087,1796,Undirected,10617,,1
7088,1796,Undirected,10618,,1
7090,1796,Undirected,10619,,2
7175,1796,Undirected,10620,,3
5468,1797,Undirected,10621,,1
6791,1797,Undirected,10622,,1
6931,1799,Undirected,10623,,2
1802,1801,Undirected,10624,,1
3248,1802,Undirected,10625,,1
3688,1802,Undirected,10626,,1
2358,1806,Undirected,10627,,1
3109,1806,Undirected,10628,,2
3242,1806,Undirected,10629,,1
4789,1806,Undirected,10630,,1
5042,1806,Undirected,10631,,6
6129,1806,Undirected,10632,,1
6378,1806,Undirected,10633,,3
6828,1806,Undirected,10634,,1
6978,1806,Undirected,10635,,1
6995,1806,Undirected,10636,,7
7456,1809,Undirected,10637,,1
1810,1810,Undirected,10638,,2
1811,1810,Undirected,10639,,1
1936,1813,Undirected,10640,,1
1956,1813,Undirected,10641,,4
1957,1813,Undirected,10642,,1
2043,1813,Undirected,10643,,1
2044,1813,Undirected,10644,,1
2045,1813,Undirected,10645,,1
5198,1813,Undirected,10646,,10
5199,1813,Undirected,10647,,1
5343,1813,Undirected,10648,,4
5811,1813,Undirected,10649,,3
6154,1813,Undirected,10650,,2
6274,1813,Undirected,10651,,1
6816,1813,Undirected,10652,,4
6842,1813,Undirected,10653,,7
6890,1813,Undirected,10654,,3
7041,1813,Undirected,10655,,1
5222,1814,Undirected,10656,,2
1941,1815,Undirected,10657,,2
1942,1815,Undirected,10658,,1
4482,1815,Undirected,10659,,4
4483,1815,Undirected,10660,,1
4654,1815,Undirected,10661,,4
4667,1815,Undirected,10662,,4
4668,1815,Undirected,10663,,1
5310,1819,Undirected,10664,,2
1965,1820,Undirected,10665,,2
1966,1820,Undirected,10666,,2
1821,1821,Undirected,10667,,1
5043,1822,Undirected,10668,,2
1824,1823,Undirected,10669,,1
3105,1823,Undirected,10670,,1
4121,1823,Undirected,10671,,2
7452,1823,Undirected,10672,,1
1826,1826,Undirected,10673,,1
1827,1826,Undirected,10674,,1
4096,1826,Undirected,10675,,1
4109,1826,Undirected,10676,,4
4114,1826,Undirected,10677,,1
4979,1826,Undirected,10678,,2
4980,1826,Undirected,10679,,1
6817,1826,Undirected,10680,,3
1832,1831,Undirected,10681,,1
5194,1831,Undirected,10682,,1
6925,1831,Undirected,10683,,2
1835,1832,Undirected,10684,,5
1836,1832,Undirected,10685,,1
1989,1832,Undirected,10686,,5
1990,1832,Undirected,10687,,4
2075,1832,Undirected,10688,,5
3677,1832,Undirected,10689,,1
3678,1832,Undirected,10690,,1
6027,1832,Undirected,10691,,1
6031,1832,Undirected,10692,,1
6032,1832,Undirected,10693,,3
6033,1832,Undirected,10694,,1
6842,1832,Undirected,10695,,2
2174,1833,Undirected,10696,,1
1834,1834,Undirected,10697,,1
7300,1835,Undirected,10698,,4
2792,1837,Undirected,10699,,1
3986,1838,Undirected,10700,,1
1839,1839,Undirected,10701,,1
1840,1839,Undirected,10702,,1
5177,1840,Undirected,10703,,1
5178,1840,Undirected,10704,,1
5036,1841,Undirected,10705,,1
5342,1844,Undirected,10706,,1
5157,1845,Undirected,10707,,1
6181,1845,Undirected,10708,,2
6182,1845,Undirected,10709,,1
7160,1845,Undirected,10710,,1
7458,1845,Undirected,10711,,3
1849,1849,Undirected,10712,,1
1850,1849,Undirected,10713,,1
3629,1850,Undirected,10714,,2
